spl,Cage,error,Depth,r,dr,ta,tb,cc
swi,-51,20,2060,0,0,3,4,0
66721,340,40,2183.7,0,0,3,4,1
68535,780,50,2211,0,0,3,4,1
71309,1700,120,2330,0,0,3,4,1
71310,1880,40,2352,0,0,3,4,1
71311,1850,60,2356,0,0,3,4,1
68536,2160,50,2392,0,0,3,4,1
68537,2490,100,2411.5,0,0,3,4,1
68538,2680,90,2428.6,0,0,3,4,1
71312,2920,90,2448,0,0,3,4,1
70220,4100,90,2556,0,0,3,4,1
70221,4290,40,2586,0,0,3,4,1
69532,4510,100,2586,0,0,3,4,1
70222,4840,210,2632,0,0,3,4,1
66722,5280,40,2672.5,0,0,3,4,1
68539,5830,40,2741.8,0,0,3,4,1
68540,6170,50,2753,0,0,3,4,1
70223,6890,90,2798,0,0,3,4,1
71314,7210,60,2834,0,0,3,4,1
70225,7240,60,2836,0,0,3,4,1
70226,8580,130,2929,0,0,3,4,1
70227,8750,80,2954,0,0,3,4,1
71315,9470,250,2968,0,0,3,4,1
70228,9420,140,2976,0,0,3,4,1
71316,9620,190,2979,0,0,3,4,1
70229,9860,50,2992,0,0,3,4,1
70230,9790,210,2992,0,0,3,4,1
