depth	min95%	max95%	best	accrate
0	-60	-41	-50	5.86
1	-55	-34	-45	5.86
2	-50	-25	-39	5.86
3	-47	-16	-33	5.86
4	-44	-6	-27	5.86
5	-41	3	-21	5.86
6	-38	13	-15	5.86
7	-35	22	-9	5.86
8	-33	32	-4	5.86
9	-31	41	2	5.86
10	-28	51	8	5.86
11	-25	61	14	5.86
12	-23	71	20	5.86
13	-21	80	26	5.86
14	-19	90	32	5.86
15	-16	100	37	5.86
16	-14	110	43	5.86
17	-11	120	49	5.86
18	-8	130	55	5.86
19	-6	140	61	5.86
20	-4	150	67	5.86
21	-2	160	73	5.86
22	1	170	78	5.86
23	3	180	84	5.86
24	5	190	90	5.86
25	8	200	96	5.86
26	10	210	102	5.86
27	12	219	108	5.86
28	15	229	114	5.86
29	17	240	119	5.86
30	20	250	125	5.86
31	22	260	131	2.98
32	26	261	134	2.98
33	30	263	137	2.98
34	33	265	140	2.98
35	37	267	143	2.98
36	41	269	146	2.98
37	45	271	149	2.98
38	50	273	152	2.98
39	54	276	155	2.98
40	57	278	158	2.98
41	60	280	161	2.98
42	64	282	164	2.98
43	67	284	167	2.98
44	71	286	170	2.98
45	74	288	173	2.98
46	78	290	176	2.98
47	83	292	179	2.98
48	86	294	182	2.98
49	89	297	185	2.98
50	93	299	188	2.98
51	97	302	191	2.98
52	101	304	194	2.98
53	104	306	197	2.98
54	107	308	200	2.98
55	110	311	203	2.98
56	113	313	206	2.98
57	116	315	209	2.98
58	119	316	212	2.98
59	122	319	215	2.98
60	125	322	218	2.98
61	128	324	221	2.98
62	131	326	224	2.98
63	134	328	227	2.98
64	137	330	230	2.98
65	140	332	233	2.98
66	143	335	236	2.98
67	146	337	239	2.98
68	149	340	242	2.98
69	152	342	244	2.98
70	155	344	247	2.98
71	158	347	250	2.98
72	161	349	253	2.98
73	163	351	256	2.98
74	166	353	259	2.98
75	169	356	262	2.98
76	171	358	265	2.98
77	174	360	268	2.98
78	177	363	271	2.98
79	179	365	274	2.98
80	182	367	277	2.98
81	185	370	280	2.98
82	188	372	283	2.98
83	190	375	286	2.98
84	193	377	289	2.98
85	196	380	292	2.98
86	199	382	295	2.98
87	202	385	298	2.98
88	205	387	301	2.98
89	208	390	304	2.98
90	211	392	307	2.98
91	213	395	310	2.98
92	216	397	313	2.98
93	219	399	316	2.98
94	222	402	319	2.98
95	226	404	322	2.98
96	229	407	325	2.98
97	231	410	328	2.98
98	234	412	331	2.98
99	237	415	334	2.98
100	240	417	337	2.98
101	242	420	340	2.98
102	246	422	343	2.98
103	249	425	346	2.98
104	251	428	349	2.98
105	254	430	352	2.98
106	257	433	355	2.98
107	259	436	358	2.98
108	262	438	361	2.98
109	265	441	364	2.98
110	268	444	367	2.98
111	270	446	370	2.98
112	272	449	373	2.98
113	275	451	376	2.98
114	277	454	379	2.98
115	280	457	382	2.98
116	282	459	385	2.98
117	285	461	388	2.98
118	287	464	391	2.98
119	290	467	394	2.98
120	293	470	397	2.98
121	295	474	400	2.98
122	298	477	402	2.98
123	301	479	405	2.98
124	303	482	408	2.98
125	305	485	411	2.98
126	308	488	414	2.98
127	310	492	417	2.98
128	313	495	420	2.98
129	315	498	423	2.98
130	317	502	426	2.98
131	318	505	429	2.98
132	320	508	432	2.98
133	323	512	435	2.98
134	325	514	438	2.98
135	327	518	441	5.75
136	333	523	447	5.75
137	340	528	453	5.75
138	346	534	459	5.75
139	352	540	464	5.75
140	359	545	470	5.75
141	366	551	476	5.75
142	372	556	482	5.75
143	379	561	487	5.75
144	385	566	493	5.75
145	391	572	499	5.75
146	398	577	505	5.75
147	404	583	510	5.75
148	411	588	516	5.75
149	417	594	522	5.75
150	424	599	528	5.75
151	430	605	533	5.75
152	437	610	539	5.75
153	443	615	545	5.75
154	449	620	551	5.75
155	455	626	556	5.75
156	462	631	562	5.75
157	468	637	568	5.75
158	474	642	574	5.75
159	480	648	579	5.75
160	486	653	585	5.75
161	492	659	591	5.75
162	499	664	597	5.75
163	505	670	602	5.75
164	511	676	608	5.75
165	518	682	614	5.75
166	524	687	620	5.75
167	530	692	625	5.75
168	536	698	631	5.75
169	543	703	637	5.75
170	549	710	643	5.75
171	555	715	648	5.75
172	561	721	654	5.75
173	568	727	660	5.75
174	574	732	666	5.75
175	580	738	671	5.75
176	586	745	677	5.75
177	593	751	683	5.75
178	599	757	689	5.75
179	605	763	694	5.75
180	611	768	700	5.75
181	617	774	706	5.75
182	624	780	712	5.75
183	630	786	717	5.75
184	636	792	723	5.75
185	642	798	729	5.75
186	648	804	735	5.75
187	655	810	740	5.75
188	661	816	746	5.75
189	667	821	752	5.75
190	673	827	758	5.75
191	679	833	763	5.75
192	686	839	769	5.75
193	692	845	775	5.75
194	698	851	781	5.75
195	704	857	786	5.75
196	710	864	792	5.75
197	716	870	798	5.75
198	722	876	804	5.75
199	728	882	809	5.75
200	734	887	815	5.75
201	741	893	821	5.75
202	746	899	827	5.75
203	752	906	832	5.75
204	758	912	838	5.75
205	764	918	844	5.75
206	770	924	850	5.75
207	776	930	855	5.75
208	783	936	861	5.75
209	789	942	867	5.75
210	795	947	873	5.75
211	801	953	878	5.75
212	807	959	884	5.75
213	813	965	890	5.75
214	819	971	896	5.75
215	826	977	901	5.75
216	832	983	907	5.75
217	838	989	913	5.75
218	844	996	919	5.75
219	850	1002	924	5.75
220	857	1008	930	5.75
221	863	1014	936	5.75
222	869	1020	942	5.75
223	875	1026	947	5.75
224	881	1032	953	5.75
225	887	1038	959	5.75
226	894	1045	965	5.75
227	899	1051	971	5.75
228	905	1057	976	5.75
229	911	1063	982	5.75
230	917	1069	988	5.75
231	923	1075	994	5.75
232	929	1081	999	5.75
233	935	1088	1005	5.75
234	942	1094	1011	5.75
235	948	1101	1017	5.75
236	954	1107	1022	5.75
237	960	1113	1028	5.75
238	966	1119	1034	5.75
239	973	1126	1040	5.75
240	979	1132	1045	5.75
241	985	1138	1051	5.75
242	991	1144	1057	5.75
243	997	1151	1063	5.75
244	1003	1157	1068	5.75
245	1009	1163	1074	5.75
246	1015	1169	1080	5.75
247	1021	1175	1086	5.75
248	1027	1182	1091	5.75
249	1032	1187	1097	5.75
250	1038	1194	1103	5.75
251	1044	1200	1109	5.75
252	1050	1207	1114	5.75
253	1056	1213	1120	5.75
254	1062	1219	1126	5.75
255	1068	1225	1132	5.75
256	1074	1231	1137	5.75
257	1079	1238	1143	5.75
258	1085	1244	1149	5.75
259	1091	1250	1155	5.75
260	1097	1257	1160	5.75
261	1103	1263	1166	5.75
262	1109	1269	1172	5.75
263	1114	1276	1178	5.75
264	1120	1282	1183	5.75
265	1126	1288	1189	5.75
266	1132	1294	1195	5.75
267	1137	1301	1201	5.75
268	1143	1307	1206	5.75
269	1149	1313	1212	5.75
270	1155	1320	1218	5.75
271	1161	1327	1224	5.75
272	1166	1333	1229	5.75
273	1172	1340	1235	5.75
274	1178	1346	1241	5.75
275	1184	1352	1247	5.75
276	1190	1358	1252	5.75
277	1197	1365	1258	5.75
278	1203	1372	1264	5.75
279	1209	1378	1270	5.75
280	1214	1384	1275	5.75
281	1220	1390	1281	5.75
282	1225	1397	1287	5.75
283	1231	1403	1293	5.75
284	1237	1410	1298	5.75
285	1242	1416	1304	5.75
286	1248	1423	1310	5.75
287	1253	1430	1316	5.75
288	1259	1436	1321	5.75
289	1264	1443	1327	5.75
290	1270	1449	1333	5.75
291	1276	1455	1339	5.75
292	1281	1462	1344	5.75
293	1287	1468	1350	5.75
294	1292	1475	1356	5.75
295	1297	1481	1362	5.75
296	1302	1487	1367	5.75
297	1308	1494	1373	5.75
298	1313	1500	1379	11.89
299	1326	1510	1391	11.89
300	1338	1520	1403	11.89
301	1351	1530	1415	11.89
302	1363	1540	1427	11.89
303	1375	1550	1438	11.89
304	1388	1561	1450	11.89
305	1400	1570	1462	11.89
306	1411	1580	1474	11.89
307	1423	1590	1486	11.89
308	1435	1600	1498	11.89
309	1446	1610	1510	11.89
310	1458	1621	1522	11.89
311	1470	1631	1534	11.89
312	1481	1643	1545	11.89
313	1493	1653	1557	11.89
314	1504	1663	1569	11.89
315	1515	1674	1581	11.89
316	1527	1685	1593	11.89
317	1539	1697	1605	11.89
318	1550	1708	1617	11.89
319	1560	1720	1629	11.89
320	1570	1732	1641	11.89
321	1581	1744	1652	11.89
322	1592	1756	1664	11.89
323	1602	1768	1676	11.89
324	1613	1780	1688	11.89
325	1622	1792	1700	11.89
326	1632	1804	1712	11.89
327	1643	1814	1724	11.89
328	1653	1826	1736	11.89
329	1663	1839	1748	11.89
330	1675	1852	1760	11.89
331	1685	1864	1771	11.89
332	1695	1875	1783	11.89
333	1705	1888	1795	11.89
334	1715	1900	1807	11.89
335	1727	1912	1819	11.89
336	1737	1924	1831	11.89
337	1747	1936	1843	11.89
338	1757	1950	1855	11.89
339	1767	1962	1867	11.89
340	1776	1975	1878	11.89
341	1786	1988	1890	11.89
342	1795	2000	1902	11.89
343	1805	2013	1914	11.89
344	1815	2025	1926	11.89
345	1825	2038	1938	11.89
346	1834	2051	1950	11.89
347	1844	2065	1962	11.89
348	1853	2077	1974	11.89
349	1862	2090	1985	11.89
350	1871	2104	1997	11.89
351	1881	2117	2009	11.89
352	1890	2130	2021	11.89
353	1900	2144	2033	11.89
354	1909	2157	2045	11.89
355	1918	2171	2057	11.89
356	1928	2185	2069	11.89
357	1937	2199	2081	11.89
358	1946	2212	2093	11.89
359	1956	2225	2104	11.89
360	1965	2238	2116	11.89
361	1975	2251	2128	11.89
362	1985	2264	2140	11.89
363	1994	2278	2152	11.89
364	2004	2292	2164	11.89
365	2013	2306	2176	7.93
366	2023	2312	2184	7.93
367	2033	2318	2192	7.93
368	2043	2324	2200	7.93
369	2053	2330	2208	7.93
370	2062	2337	2215	7.93
371	2073	2344	2223	7.93
372	2083	2350	2231	7.93
373	2093	2356	2239	7.93
374	2103	2363	2247	7.93
375	2112	2369	2255	7.93
376	2123	2376	2263	7.93
377	2133	2381	2271	7.93
378	2143	2388	2279	7.93
379	2152	2394	2287	7.93
380	2162	2401	2295	7.93
381	2172	2407	2303	7.93
382	2182	2414	2311	7.93
383	2193	2421	2319	7.93
384	2203	2428	2327	7.93
385	2212	2434	2334	7.93
386	2222	2441	2342	7.93
387	2232	2448	2350	7.93
388	2241	2454	2358	7.93
389	2252	2462	2366	7.93
390	2261	2469	2374	7.93
391	2271	2476	2382	7.93
392	2281	2483	2390	7.93
393	2290	2490	2398	7.93
394	2300	2497	2406	7.93
395	2310	2504	2414	7.93
396	2320	2511	2422	7.93
397	2329	2518	2430	7.93
398	2339	2525	2438	7.93
399	2349	2533	2446	7.93
400	2359	2540	2453	7.93
401	2368	2548	2461	7.93
402	2377	2554	2469	7.93
403	2386	2561	2477	7.93
404	2395	2569	2485	7.93
405	2405	2576	2493	7.93
406	2415	2584	2501	7.93
407	2425	2592	2509	7.93
408	2434	2600	2517	7.93
409	2444	2607	2525	7.93
410	2453	2615	2533	7.93
411	2462	2622	2541	7.93
412	2471	2630	2549	7.93
413	2480	2637	2557	7.93
414	2489	2643	2565	7.93
415	2499	2651	2572	7.93
416	2508	2658	2580	7.93
417	2517	2667	2588	7.93
418	2526	2674	2596	7.93
419	2535	2682	2604	7.93
420	2544	2690	2612	7.93
421	2552	2697	2620	7.93
422	2561	2705	2628	7.93
423	2570	2714	2636	7.93
424	2578	2725	2644	7.93
425	2587	2735	2652	7.93
426	2596	2743	2660	7.93
427	2605	2751	2668	7.93
428	2613	2759	2676	7.93
429	2622	2767	2684	7.93
430	2630	2775	2691	7.93
431	2639	2784	2699	7.93
432	2647	2793	2707	7.93
433	2657	2802	2715	7.93
434	2665	2811	2723	7.93
435	2674	2821	2731	7.93
436	2682	2830	2739	7.93
437	2690	2840	2747	7.93
438	2698	2850	2755	7.93
439	2707	2860	2763	7.93
440	2716	2869	2771	7.93
441	2724	2879	2779	7.93
442	2732	2887	2787	7.93
443	2739	2897	2795	7.93
444	2746	2906	2803	7.93
445	2754	2915	2810	148.44
446	2903	3060	2959	148.44
447	3052	3204	3107	148.44
448	3198	3348	3256	148.44
449	3345	3495	3404	148.44
450	3492	3639	3553	148.44
451	3638	3785	3701	148.44
452	3784	3932	3850	148.44
453	3929	4079	3998	148.44
454	4075	4229	4146	148.44
455	4222	4379	4295	148.44
456	4369	4529	4443	148.44
457	4514	4683	4592	148.44
458	4659	4836	4740	148.44
459	4806	4989	4889	148.44
460	4951	5141	5037	148.44
461	5096	5293	5186	148.44
462	5241	5446	5334	148.44
463	5386	5600	5482	148.44
464	5531	5753	5631	148.44
465	5676	5906	5779	148.44
466	5822	6059	5928	148.44
467	5965	6212	6076	148.44
468	6109	6365	6225	148.44
469	6253	6518	6373	148.44
470	6398	6671	6522	148.44
471	6542	6823	6670	148.44
472	6685	6976	6818	148.44
473	6828	7131	6967	148.44
474	6971	7285	7115	148.44
475	7114	7440	7264	148.44
476	7258	7594	7412	148.44
477	7402	7748	7561	148.44
478	7546	7902	7709	148.44
479	7690	8055	7858	148.44
480	7833	8209	8006	148.44
481	7977	8363	8154	148.44
482	8121	8517	8303	148.44
483	8265	8672	8451	148.44
484	8408	8826	8600	148.44
485	8552	8980	8748	37.83
486	8593	9012	8786	37.83
487	8633	9047	8824	37.83
488	8674	9082	8862	37.83
489	8716	9117	8900	37.83
490	8758	9152	8937	37.83
491	8799	9185	8975	37.83
492	8840	9221	9013	37.83
493	8880	9254	9051	37.83
494	8921	9290	9089	37.83
495	8961	9324	9126	37.83
496	9002	9359	9164	37.83
497	9042	9397	9202	37.83
498	9083	9437	9240	37.83
499	9124	9476	9278	37.83
500	9162	9512	9316	37.83
501	9201	9551	9353	37.83
502	9242	9591	9391	37.83
503	9281	9631	9429	37.83
504	9319	9670	9467	37.83
505	9359	9710	9505	37.83
506	9399	9752	9543	37.83
507	9437	9793	9580	37.83
508	9476	9834	9618	37.83
509	9514	9874	9656	37.83
510	9551	9914	9694	37.83
511	9590	9954	9732	37.83
512	9630	9994	9770	37.83
513	9669	10035	9807	37.83
514	9707	10073	9845	37.83
515	9744	10113	9883	37.83
516	9782	10155	9921	37.83
517	9820	10199	9959	37.83
518	9857	10242	9997	37.83
519	9893	10285	10034	37.83
520	9931	10326	10072	37.83
521	9967	10368	10110	37.83
522	10002	10412	10148	37.83
523	10038	10453	10186	37.83
524	10076	10494	10223	37.83
525	10113	10536	10261	37.83
526	10150	10580	10299	37.83
527	10187	10623	10337	37.83
528	10222	10664	10375	37.83
529	10257	10706	10413	37.83
530	10290	10748	10450	37.83
531	10323	10791	10488	37.83
532	10357	10835	10526	37.83
533	10392	10879	10564	37.83
