depth	min95%	max95%	best	accrate
0	-55	-12	-43	2.89
1	-51	-9	-40	2.9
2	-49	-6	-37	2.91
3	-47	-4	-34	2.92
4	-45	-1	-31	2.93
5	-44	3	-28	2.94
6	-43	7	-25	2.95
7	-42	11	-22	2.96
8	-41	15	-19	2.97
9	-40	19	-16	2.98
10	-39	23	-13	2.99
11	-38	27	-10	3
12	-37	33	-7	3.01
13	-36	37	-4	3.02
14	-35	40	-1	3.03
15	-35	43	2	3.04
16	-34	46	5	3.05
17	-33	50	8	3.06
18	-32	54	11	3.08
19	-30	59	14	3.09
20	-29	64	17	3.1
21	-28	69	20	3.11
22	-27	74	23	3.12
23	-25	78	26	3.13
24	-24	82	29	3.14
25	-22	87	33	3.15
26	-21	91	36	3.16
27	-19	95	39	3.17
28	-18	99	42	3.18
29	-16	104	45	3.2
30	-14	108	48	3.21
31	-13	113	52	3.22
32	-11	118	55	3.23
33	-9	122	58	3.24
34	-7	126	61	3.25
35	-6	131	65	3.26
36	-4	136	68	3.28
37	-2	140	71	3.29
38	-1	144	74	3.3
39	1	149	78	3.31
40	3	153	81	3.32
41	5	158	84	3.33
42	7	161	88	3.34
43	9	165	91	3.36
44	11	169	94	3.37
45	13	173	98	3.38
46	15	177	101	3.39
47	17	181	104	3.4
48	19	184	108	3.42
49	21	188	111	3.43
50	24	191	115	3.44
51	26	195	118	3.45
52	28	199	122	3.46
53	30	204	125	3.48
54	33	208	129	3.49
55	35	212	132	3.5
56	38	216	136	3.51
57	40	220	139	3.53
58	43	223	143	3.54
59	46	228	146	3.55
60	49	232	150	3.56
61	51	236	153	3.58
62	54	240	157	3.59
63	57	244	160	3.6
64	60	249	164	3.61
65	62	253	168	3.63
66	65	257	171	3.64
67	68	261	175	3.65
68	71	266	179	3.66
69	73	270	182	3.68
70	76	274	186	3.69
71	79	278	190	3.7
72	82	283	193	3.72
73	85	287	197	3.73
74	88	291	201	3.74
75	91	295	204	3.76
76	95	300	208	3.77
77	98	304	212	3.78
78	101	308	216	3.8
79	105	312	220	3.81
80	108	316	223	3.82
81	111	320	227	3.84
82	115	324	231	3.85
83	118	328	235	3.86
84	122	333	239	3.88
85	125	337	243	3.89
86	129	341	247	3.9
87	132	345	250	3.92
88	136	350	254	3.93
89	140	354	258	3.94
90	143	358	262	3.96
91	147	362	266	3.97
92	151	366	270	3.99
93	154	370	274	4
94	158	375	278	4.01
95	162	380	282	4.03
96	166	384	286	4.04
97	169	388	290	4.06
98	173	392	294	4.07
99	177	396	298	4.08
100	181	400	302	4.1
101	185	404	307	4.11
102	189	408	311	4.13
103	193	412	315	4.14
104	197	416	319	4.16
105	201	420	323	4.17
106	205	424	327	4.18
107	209	428	331	4.2
108	213	431	336	4.21
109	217	435	340	4.23
110	221	439	344	4.24
111	225	443	348	4.26
112	230	447	353	4.27
113	234	451	357	4.29
114	238	455	361	4.3
115	242	460	365	4.32
116	247	464	370	4.33
117	251	468	374	4.35
118	256	472	378	4.36
119	260	477	383	4.38
120	265	481	387	4.39
121	270	486	392	4.41
122	274	490	396	4.42
123	279	495	400	4.44
124	284	500	405	4.45
125	288	504	409	4.47
126	293	509	414	4.48
127	298	513	418	4.5
128	303	517	423	4.51
129	307	522	427	4.53
130	312	526	432	4.54
131	317	532	436	4.56
132	321	537	441	4.57
133	326	542	445	4.59
134	331	546	450	4.61
135	335	550	455	4.62
136	340	555	459	4.64
137	345	559	464	4.65
138	349	564	469	4.67
139	354	568	473	4.69
140	359	572	478	4.7
141	364	576	483	4.72
142	369	582	487	4.73
143	374	587	492	4.75
144	379	591	497	4.77
145	384	596	502	4.78
146	389	600	506	4.8
147	394	604	511	4.81
148	399	609	516	4.83
149	404	614	521	4.85
150	409	619	526	4.86
151	414	624	530	4.88
152	419	629	535	4.9
153	424	635	540	4.91
154	429	639	545	4.93
155	434	643	550	4.94
156	440	648	555	4.96
157	445	653	560	4.98
158	451	658	565	4.99
159	457	663	570	5.01
160	462	668	575	5.03
161	468	672	580	5.04
162	474	677	585	5.06
163	479	682	590	5.08
164	485	688	595	5.1
165	490	693	600	5.11
166	495	698	605	5.13
167	501	705	611	5.15
168	506	710	616	5.16
169	512	715	621	5.18
170	517	720	626	5.2
171	523	726	631	5.22
172	528	732	636	5.23
173	534	738	642	5.25
174	539	744	647	5.27
175	545	750	652	5.28
176	550	756	657	5.3
177	556	762	663	5.32
178	562	768	668	5.34
179	568	773	673	5.35
180	574	778	679	5.37
181	580	785	684	5.39
182	585	790	690	5.41
183	590	796	695	5.43
184	596	803	700	5.44
185	602	809	706	5.46
186	608	814	711	5.48
187	614	820	717	5.5
188	620	826	722	5.51
189	626	832	728	5.53
190	632	838	733	5.55
191	638	844	739	5.57
192	644	850	744	5.59
193	650	856	750	5.61
194	656	862	756	5.62
195	662	868	761	5.64
196	668	874	767	5.66
197	674	880	773	5.68
198	680	887	778	5.7
199	686	892	784	5.72
200	692	899	790	5.73
201	698	905	795	5.75
202	703	911	801	5.77
203	709	918	807	5.79
204	715	925	813	5.81
205	721	932	818	5.83
206	728	938	824	5.85
207	734	945	830	5.86
208	740	951	836	5.88
209	747	957	842	5.9
210	753	963	848	5.92
211	759	969	854	5.94
212	765	975	860	5.96
213	771	981	866	5.98
214	778	988	872	6
215	784	995	878	6.02
216	790	1003	884	6.04
217	796	1010	890	6.05
218	803	1018	896	6.07
219	809	1025	902	6.09
220	815	1033	908	6.11
221	822	1040	914	6.13
222	828	1047	920	6.15
223	835	1055	926	6.17
224	841	1063	932	6.19
225	847	1070	939	6.21
226	854	1078	945	6.23
227	860	1085	951	6.25
228	866	1092	957	6.27
229	872	1098	964	6.29
230	879	1104	970	6.31
231	885	1110	976	6.33
232	892	1116	983	6.35
233	899	1122	989	6.37
234	906	1129	995	6.39
235	912	1136	1002	6.41
236	919	1143	1008	6.43
237	925	1151	1014	6.45
238	932	1158	1021	6.47
239	939	1165	1027	6.49
240	946	1171	1034	6.51
241	952	1177	1040	6.53
242	959	1184	1047	6.55
243	965	1191	1053	6.57
244	972	1198	1060	6.59
245	979	1205	1067	6.61
246	986	1213	1073	6.63
247	993	1220	1080	6.65
248	1000	1228	1086	6.67
249	1006	1235	1093	6.69
250	1013	1243	1100	6.71
251	1020	1250	1107	6.73
252	1027	1258	1113	6.75
253	1034	1266	1120	6.77
254	1041	1274	1127	6.8
255	1049	1281	1134	6.82
256	1057	1289	1140	6.84
257	1064	1297	1147	6.86
258	1071	1305	1154	6.88
259	1078	1313	1161	6.9
260	1086	1320	1168	6.92
261	1093	1328	1175	6.94
262	1100	1335	1182	6.96
263	1107	1343	1189	6.98
264	1114	1350	1196	7.01
265	1122	1358	1203	7.03
266	1128	1365	1210	7.05
267	1135	1373	1217	7.07
268	1143	1381	1224	7.09
269	1150	1388	1231	7.11
270	1157	1396	1238	7.13
271	1165	1403	1245	7.15
272	1173	1411	1252	7.18
273	1180	1419	1260	7.2
274	1187	1426	1267	7.22
275	1193	1434	1274	7.24
276	1201	1442	1281	7.26
277	1207	1449	1288	7.28
278	1215	1457	1296	7.31
279	1222	1465	1303	7.33
280	1229	1473	1310	7.35
281	1237	1480	1318	7.37
282	1244	1488	1325	7.39
283	1252	1496	1332	7.42
284	1259	1503	1340	7.44
285	1265	1511	1347	7.46
286	1273	1519	1355	7.48
287	1280	1527	1362	7.5
288	1287	1535	1370	7.53
289	1294	1542	1377	7.55
290	1301	1550	1385	7.57
291	1309	1558	1392	7.59
292	1316	1566	1400	7.62
293	1323	1573	1408	7.64
294	1330	1581	1415	7.66
295	1338	1589	1423	7.68
296	1346	1597	1431	7.71
297	1353	1604	1438	7.73
298	1361	1612	1446	7.75
299	1368	1620	1454	7.77
300	1376	1629	1462	7.8
301	1383	1637	1469	7.82
302	1392	1645	1477	7.84
303	1399	1652	1485	7.87
