depth	min95%	max95%	best	accrate
0	-58	-25	-47	4.57
1	-54	-19	-42	4.57
2	-51	-15	-37	4.57
3	-47	-10	-33	4.56
4	-44	-4	-28	4.56
5	-41	2	-24	4.55
6	-38	9	-19	4.55
7	-35	15	-15	4.54
8	-32	22	-10	4.53
9	-28	29	-6	4.53
10	-25	36	-1	4.52
11	-23	44	3	4.51
12	-20	50	8	4.49
13	-17	57	12	4.48
14	-14	64	17	4.47
15	-11	71	21	4.45
16	-8	79	26	4.44
17	-5	86	30	4.42
18	-3	93	35	4.4
19	0	100	39	4.39
20	3	106	44	4.37
21	6	113	48	4.35
22	8	120	52	4.32
23	11	126	57	4.3
24	13	133	61	4.28
25	16	139	65	4.25
26	18	146	69	4.23
27	21	152	74	4.2
28	23	158	78	4.18
29	26	164	82	4.15
30	28	170	86	4.12
31	31	176	90	4.09
32	33	182	94	4.06
33	36	188	98	4.03
34	39	194	102	4
35	41	199	106	3.97
36	44	205	110	3.95
37	46	210	114	3.92
38	49	215	118	3.89
39	51	220	122	3.87
40	54	225	126	3.84
41	56	230	130	3.82
42	59	235	134	3.79
43	61	240	138	3.77
44	64	244	141	3.74
45	66	249	145	3.72
46	69	254	149	3.7
47	72	259	152	3.68
48	74	263	156	3.66
49	77	267	160	3.63
50	79	271	163	3.61
51	82	275	167	3.59
52	85	278	171	3.57
53	87	282	174	3.56
54	90	286	178	3.54
55	92	290	181	3.52
56	95	295	185	3.5
57	98	299	188	3.49
58	100	302	192	3.47
59	103	306	195	3.45
60	105	309	199	3.44
61	108	312	202	3.42
62	110	315	206	3.41
63	113	318	209	3.4
64	116	322	212	3.38
65	118	325	216	3.37
66	121	328	219	3.36
67	124	331	222	3.35
68	126	334	226	3.33
69	129	337	229	3.32
70	132	340	232	3.31
71	134	344	236	3.3
72	137	347	239	3.29
73	140	351	242	3.29
74	143	354	246	3.28
75	146	358	249	3.27
76	148	360	252	3.26
77	151	363	256	3.26
78	154	366	259	3.25
79	157	369	262	3.24
80	160	372	265	3.24
81	163	375	268	3.23
82	166	378	272	3.23
83	169	381	275	3.23
84	172	383	278	3.22
85	175	385	281	3.22
86	178	388	285	3.22
87	181	392	288	3.22
88	184	394	291	3.22
89	187	397	294	3.22
90	189	399	298	3.22
91	192	402	301	3.22
92	195	405	304	3.22
93	198	407	307	3.22
94	201	410	310	3.22
95	204	413	314	3.22
96	208	415	317	3.23
97	211	418	320	3.23
98	214	420	323	3.23
99	217	423	327	3.24
100	220	426	330	3.24
101	223	428	333	3.25
102	227	431	336	3.26
103	230	433	340	3.26
104	233	436	343	3.27
105	236	438	346	3.28
106	240	441	349	3.29
107	243	443	353	3.29
108	247	446	356	3.3
109	250	448	359	3.31
110	253	451	363	3.32
111	257	454	366	3.33
112	260	456	369	3.35
113	263	459	373	3.36
114	267	462	376	3.37
115	270	464	379	3.38
116	274	467	383	3.4
117	277	471	386	3.41
118	281	475	389	3.42
119	284	478	393	3.44
120	288	482	396	3.45
121	291	485	400	3.47
122	295	489	403	3.49
123	299	491	407	3.5
124	302	493	410	3.52
125	306	495	414	3.54
126	310	497	417	3.56
127	313	499	421	3.58
128	317	502	424	3.59
129	321	505	428	3.61
130	325	508	432	3.63
131	329	512	435	3.66
132	333	515	439	3.68
133	337	518	443	3.7
134	340	521	446	3.72
135	344	525	450	3.74
136	348	528	454	3.77
137	352	532	458	3.79
