d,  S.cus,   S.cus_undiff,     S.ten,  S.mag,    S.pap,    S.imb,   S.cap,    PoolHollow,  Lawn,  Hummock
0 ,   0,       10,               0 ,      80,      0,       0,       0 ,       0 ,          80,     0
1 ,   0,       10,               0 ,      74,      0,       0,       0 ,       0 ,          74,     0
2 ,   0,       10,               0 ,      71,      0,       0,       0 ,       0 ,          71,     0
3 ,   0,       10,               0 ,      79,      0,       0,       0 ,       0 ,          79,     0
4 ,   0,       10,               0 ,      62,      0,       0,       5 ,       0 ,          62,     5
5 ,   0,       10,               0 ,      53,      0,       0,       8 ,       0 ,          53,     8
6 ,   0,       10,               0 ,      42,      0,       0,       5 ,       0 ,          42,     5
7 ,   0,       10,               0 ,      43,      0,       0,       8 ,       0 ,          43,     8
8 ,   0,       10,               0 ,      68,      0,       0,       5 ,       0 ,          68,     5
9 ,   0,       10,               0 ,      55,      0,       0,       8 ,       0 ,          55,     8
10,   0,       10,               0 ,      58,      0,       0,       6 ,       0 ,          58,     6
11,   0,       10,               0 ,      68,      0,       0,       5 ,       0 ,          68,     5
12,   0,       10,               0 ,      31,      0,       0,       8 ,       0 ,          31,     8
13,   0,       10,               0 ,      44,      0,       0,       5 ,       0 ,          44,     5
14,   0,       10,               0 ,      67,      0,       0,       4 ,       0 ,          67,     4
15,   0,       10,               0 ,      63,      0,       0,       3 ,       0 ,          63,     3
16,   0,       10,               0 ,      53,      0,       0,       4 ,       0 ,          53,     4
17,   0,       10,               0 ,      49,      0,       0,       1 ,       0 ,          49,     1
18,   0,       10,               0 ,      60,      0,       0,       2 ,       0 ,          60,     2
19,   0,       10,               0 ,      83,      0,       0,       2 ,       0 ,          83,     2
20,   0,       10,               0 ,      34,      0,       0,       8 ,       0 ,          34,     8
21,   0,       10,               0 ,      5 ,      0,       0,       50,       0 ,          5 ,     50
22,   0,       10,               0 ,      3 ,      0,       0,       52,       0 ,          3 ,     52
23,   0,       10,               0 ,      0 ,      0,       0,       62,       0 ,          0 ,     62
24,   0,       10,               0 ,      6 ,      0,       0,       40,       0 ,          6 ,     40
25,   0,       10,               0 ,      0 ,      0,       0,       27,       0 ,          0 ,     27
26,   0,       10,               0 ,      0 ,      0,       0,       4 ,       0 ,          0 ,     4
27,   0,       10,               0 ,      0 ,      0,       0,       2 ,       0 ,          0 ,     2
28,   0,       10,               0 ,      0 ,      0,       0,       8 ,       0 ,          0 ,     8
29,   0,       10,               0 ,      0 ,      0,       0,       73,       0 ,          0 ,     73
30,   0,       10,               0 ,      2 ,      0,       0,       66,       0 ,          2 ,     66
