Lab_id.   Cage   error depth  r dr t.a t.b cc
LE1-1k    24900  3200  549    0 0 3 4  0   
Poz2492   17090  90    566    0 0 3 4  1   
LE1-2k    24300  3100  655.5  0 0 3 4  0   
LE1-3m    21200  2700  829.5  0 0 3 4  0   
LuS6151   15310  160   1120   0 0 3 4  1   
LE1-5m    23000  3000  1132.5 0 0 3 4  0   
LuS5988   17100  400   1300   0 0 3 4  1   
LE1-6k    24300  3200  1393   0 0 3 4  0   
LuS6180   20030  140   1605   0 0 3 4  1   
LE1-7k    23800  3000  1653   0 0 3 4  0   
LuS6152   22625  120   1670   0 0 3 4  1   
LuS6179   22210  120   1740   0 0 3 4  1   
LuS6072   23175  105   1770   0 0 3 4  1   
LE1-8k    32400  4300  1810   0 0 3 4  0   
Poz2493   23890  150   1829.5 0 0 3 4  1   
LE1-9k    28700  3700  1895.5 0 0 3 4  0   
LuS6387   23500  150   1896   0 0 3 4  1   
LuS6178   24490  170   1953   0 0 3 4  1   
LuS6069   21090  170   1987   0 0 3 4  1   
LE1-10k   28000  3800  2000   0 0 3 4  0   
LuS6177   23820  140   2022   0 0 3 4  1   
LuS6070   24945  120   2031.5 0 0 3 4  1   
LuS6289   24350  250   2052   0 0 3 4  1   
Ua16654   24310  470   2080   0 0 3 4  1   
LE1-12m   28700  3800  2104.5 0 0 3 4  0   
LuS6176   24725  140   2113   0 0 3 4  1   
LuS6073   24455  210   2171.5 0 0 3 4  1   
Ua16739   26115  195   2185.5 0 0 3 4  1   
LE1-15k   40600  6300  2241.5 0 0 3 4  0   
LuS6291   27700  250   2300   0 0 3 4  1   
Ua16770   21245  220   2312   0 0 3 4  1   
LE1-16m   33000  4400  2314   0 0 3 4  0   
LuS6292   30850  350   2354   0 0 3 4  1   
LuS6386   23200  150   2378   0 0 3 4  1   
LuS6293   30150  400   2384   0 0 3 4  1   
LuS6294   28600  300   2412   0 0 3 4  1   
LuS6353   28800  300   2424   0 0 3 4  1   
LuS6295   29450  300   2440   0 0 3 4  1   
Ua16660   30005  190   2474   0 0 3 4  1   
LuS6352   26950  200   2486   0 0 3 4  1   
LuS5990   27600  500   2508   0 0 3 4  1   
LuS6385   29750  200   2510   0 0 3 4  1   
Ua16658   31170  850   2547   0 0 3 4  1   
LE1-21k   33500  4400  2551   0 0 3 4  0   
Ua16824   31200  350   2562   0 0 3 4  1   
LuS6300   27400  200   2582   0 0 3 4  1   
LuS6354   31200  350   2622   0 0 3 4  1   
Ua16749   30815  340   2630   0 0 3 4  1   
LE1-22m   40000  5300  2653.5 0 0 3 4  0   
Ua16850   32010  225   2668   0 0 3 4  1   
LuS6384   31950  250   2706   0 0 3 4  1   
LE1-24m   37500  5000  2707.5 0 0 3 4  0   
LuS6355   31800  350   2730   0 0 3 4  1   
LuS6020   32700  400   2735   0 0 3 4  1   
LuS5991   27450  700   2748   0 0 3 4  1   
LE1-26k   44500  6000  2793.5 0 0 3 4  0   
Ua17108   35300  365   2815.5 0 0 3 4  1   
LuS6296   39400  1400  2830   0 0 3 4  1   
LuS6018   40000  800   2840   0 0 3 4  1   
LE1-28k   68200  9000  2851   0 0 3 4  0   
LuS6016   42200  1000  2870   0 0 3 4  1   
LE1-29m   65200  9200  2910.5 0 0 3 4  0   
LE1-30k   83600  11800 2930   0 0 3 4  0   
LE1-32k   90500  13000 2985   0 0 3 4  0   
LuS6299   38550  1300  3000   0 0 3 4  1   
LE1-33m   76900  12100 3050.5 0 0 3 4  0   
LE1-33Q   64000  9900  3050.5 0 0 3 4  0   
LuS6154   39320  600   3097   0 0 3 4  1   
