WLM20,   S.cus,   S.cus_undif,     S.ten,   S.mag,   S.pap,   S.imb,   S.cap,   Hollow,   Lawn,   Hummock
0 ,      0 ,      1 ,              1 ,      74,      0,       0 ,      0 ,      2 ,       74,     0 
1 ,      0 ,      1 ,              0 ,      84,      0,       0 ,      1 ,      1 ,       84,     1
2 ,      0 ,      1 ,              0 ,      74,      0,       0 ,      1 ,      1 ,       74,     1
3 ,      0 ,      1 ,              0 ,      80,      0,       0 ,      1 ,      1 ,       80,     1
4 ,      0 ,      0 ,              0 ,      80,      0,       0 ,      1 ,      0 ,       80,     1
5 ,      0 ,      1 ,              0 ,      79,      0,       0 ,      1 ,      1 ,       79,     1
6 ,      0 ,      0 ,              0 ,      76,      0,       0 ,      0 ,      0 ,       76,     0
7 ,      0 ,      1 ,              0 ,      73,      0,       0 ,      1 ,      1 ,       73,     1
8 ,      0 ,      0 ,              0 ,      83,      0,       0 ,      1 ,      0 ,       83,     1
9 ,      0 ,      0 ,              0 ,      77,      0,       0 ,      0 ,      0 ,       77,     0
10,      0 ,      1 ,              0 ,      80,      0,       0 ,      1 ,      1 ,       80,     1
11,      0 ,      1 ,              1 ,      72,      0,       0 ,      0 ,      2 ,       72,     0
12,      0 ,      0 ,              1 ,      68,      0,       0 ,      0 ,      1 ,       68,     0
13,      0 ,      0 ,              0 ,      49,      0,       0 ,      0 ,      0 ,       49,     0
14,      0 ,      1 ,              1 ,      61,      0,       0 ,      0 ,      2 ,       61,     0
15,      0 ,      1 ,              1 ,      23,      0,       0 ,      0 ,      2 ,       23,     0
16,      0 ,      0 ,              0 ,      20,      0,       0 ,      0 ,      0 ,       20,     0
17,      0 ,      0 ,              0 ,      66,      0,       0 ,      0 ,      0 ,       66,     0
18,      0 ,      0 ,              0 ,      68,      0,       0 ,      0 ,      0 ,       68,     0
19,      0 ,      0 ,              0 ,      67,      0,       0 ,      0 ,      0 ,       67,     0
20,      0 ,      0 ,              0 ,      58,      0,       0 ,      0 ,      0 ,       58,     0
21,      0 ,      0 ,              0 ,      65,      0,       0 ,      1 ,      0 ,       65,     1
22,      0 ,      1 ,              0 ,      52,      0,       0 ,      1 ,      1 ,       52,     1
23,      0 ,      0 ,              1 ,      56,      0,       0 ,      0 ,      1 ,       56,     0
24,      0 ,      1 ,              1 ,      54,      0,       0 ,      1 ,      2 ,       54,     1
25,      2 ,      2 ,              1 ,      57,      0,       0 ,      0 ,      5 ,       57,     0
26,      4 ,      18,              4 ,      26,      0,       0 ,      1 ,      26,       26,     1
27,      5 ,      30,              20,      5 ,      0,       0 ,      0 ,      55,       5 ,     0
28,      20,      49,              5 ,      0 ,      0,       0 ,      0 ,      74,       0 ,     0
29,      28,      50,              5 ,      0 ,      0,       0 ,      0 ,      83,       0 ,     0
30,      32,      35,              10,      0 ,      0,       0 ,      0 ,      77,       0 ,     0
31,      34,      37,              0 ,      1 ,      0,       0 ,      0 ,      71,       1 ,     0
32,      32,      32,              1 ,      0 ,      0,       0 ,      0 ,      65,       0 ,     0
33,      48,      15,              1 ,      0 ,      0,       0 ,      0 ,      64,       0 ,     0
34,      38,      10,              5 ,      0 ,      0,       0 ,      1 ,      53,       0 ,     1
35,      50,      15,              3 ,      0 ,      0,       0 ,      0 ,      68,       0 ,     0
36,      10,      26,              2 ,      5 ,      0,       0 ,      0 ,      38,       5 ,     0
37,      25,      34,              4 ,      5 ,      0,       0 ,      0 ,      63,       5 ,     0
38,      10,      52,              4 ,      2 ,      0,       0 ,      0 ,      66,       2 ,     0
39,      0 ,      2 ,              54,      10,      0,       0 ,      2 ,      56,       10,     2
40,      0 ,      5 ,              48,      5 ,      0,       0 ,      10,      53,       5 ,     10
41,      0 ,      2 ,              30,      40,      0,       0 ,      5 ,      32,       40,     5
42,      0 ,      0 ,              5 ,      63,      0,       0 ,      2 ,      5 ,       63,     2
43,      0 ,      0 ,              1 ,      61,      0,       0 ,      2 ,      1 ,       61,     2
44,      0 ,      0 ,              1 ,      61,      0,       0 ,      1 ,      1 ,       61,     1
45,      0 ,      0 ,              2 ,      68,      0,       0 ,      0 ,      2 ,       68,     0
46,      1 ,      1 ,              0 ,      76,      0,       0 ,      0 ,      2 ,       76,     0
47,      1 ,      0 ,              0 ,      73,      0,       0 ,      0 ,      1 ,       73,     0
48,      0 ,      1 ,              0 ,      60,      0,       0 ,      0 ,      1 ,       60,     0
49,      0 ,      0 ,              0 ,      72,      2,       0 ,      0 ,      0 ,       74,     0
50,      0 ,      0 ,              3 ,      55,      0,       0 ,      4 ,      3 ,       55,     4
51,      0 ,      1 ,              0 ,      53,      0,       1 ,      0 ,      1 ,       53,     1
52,      0 ,      0 ,              0 ,      69,      0,       0 ,      0 ,      0 ,       69,     0
53,      0 ,      2 ,              1 ,      70,      0,       2 ,      1 ,      3 ,       70,     3
54,      0 ,      0 ,              0 ,      73,      0,       0 ,      0 ,      0 ,       73,     0
55,      0 ,      0 ,              0 ,      59,      0,       0 ,      0 ,      0 ,       59,     0
56,      0 ,      0 ,              0 ,      63,      0,       0 ,      0 ,      0 ,       63,     0
57,      0 ,      0 ,              0 ,      71,      0,       0 ,      0 ,      0 ,       71,     0
58,      0 ,      0 ,              0 ,      68,      0,       0 ,      0 ,      0 ,       68,     0
59,      0 ,      0 ,              0 ,      69,      0,       0 ,      0 ,      0 ,       69,     0
60,      0 ,      0 ,              0 ,      72,      0,       0 ,      0 ,      0 ,       72,     0
61,      0 ,      4 ,              15,      42,      0,       0 ,      10,      19,       42,     10
62,      0 ,      1 ,              3 ,      65,      0,       0 ,      6 ,      4 ,       65,     6
63,      0 ,      2 ,              15,      54,      0,       0 ,      1 ,      17,       54,     1
64,      2 ,      4 ,              21,      40,      0,       0 ,      1 ,      27,       40,     1
65,      1 ,      2 ,              10,      55,      0,       5 ,      1 ,      13,       55,     6
66,      2 ,      5 ,              42,      15,      0,       10,      2 ,      49,       15,     12
67,      2 ,      8 ,              25,      20,      0,       20,      2 ,      35,       20,     22
68,      0 ,      5 ,              10,      20,      0,       45,      1 ,      15,       20,     46
69,      2 ,      2 ,              15,      15,      0,       40,      10,      19,       15,     50
70,      0 ,      1 ,              22,      1 ,      0,       30,      20,      23,       1 ,     50
71,      0 ,      0 ,              0 ,      0 ,      0,       1 ,      74,      0 ,       0 ,     75
72,      0 ,      0 ,              0 ,      1 ,      0,       0 ,      79,      0 ,       1 ,     79
73,      0 ,      0 ,              2 ,      0 ,      0,       5 ,      64,      2 ,       0 ,     69
74,      0 ,      0 ,              0 ,      0 ,      0,       25,      40,      0 ,       0 ,     65
75,      0 ,      0 ,              0 ,      0 ,      0,       45,      20,      0 ,       0 ,     65
76,      0 ,      0 ,              0 ,      0 ,      0,       58,      15,      0 ,       0 ,     73
77,      0 ,      0 ,              0 ,      0 ,      0,       65,      10,      0 ,       0 ,     75
78,      0 ,      0 ,              0 ,      0 ,      0,       71,      10,      0 ,       0 ,     81
79,      0 ,      0 ,              0 ,      0 ,      0,       48,      25,      0 ,       0 ,     73
80,      0 ,      0 ,              0 ,      0 ,      0,       82,      5 ,      0 ,       0 ,     87
81,      0 ,      0 ,              0 ,      0 ,      0,       83,      5 ,      0 ,       0 ,     88
82,      0 ,      0 ,              0 ,      0 ,      0,       82,      5 ,      0 ,       0 ,     87
83,      0 ,      0 ,              0 ,      0 ,      0,       85,      4 ,      0 ,       0 ,     89
84,      0 ,      0 ,              0 ,      0 ,      0,       71,      5 ,      0 ,       0 ,     76
85,      0 ,      0 ,              0 ,      0 ,      0,       78,      5 ,      0 ,       0 ,     83
86,      0 ,      0 ,              0 ,      0 ,      0,       75,      2 ,      0 ,       0 ,     77
87,      0 ,      0 ,              0 ,      0 ,      0,       77,      4 ,      0 ,       0 ,     81
88,      0 ,      0 ,              0 ,      0 ,      0,       76,      2 ,      0 ,       0 ,     78
89,      0 ,      0 ,              0 ,      0 ,      0,       79,      5 ,      0 ,       0 ,     84
90,      0 ,      0 ,              0 ,      0 ,      0,       80,      5 ,      0 ,       0 ,     85
91,      0 ,      0 ,              0 ,      0 ,      0,       82,      5 ,      0 ,       0 ,     87
92,      0 ,      0 ,              0 ,      0 ,      0,       79,      4 ,      0 ,       0 ,     83
93,      0 ,      0 ,              1 ,      0 ,      0,       82,      2 ,      1 ,       0 ,     84
94,      0 ,      0 ,              1 ,      0 ,      0,       68,      5 ,      1 ,       0 ,     73
95,      0 ,      0 ,              1 ,      0 ,      0,       79,      5 ,      1 ,       0 ,     84
96,      0 ,      0 ,              1 ,      0 ,      0,       69,      8 ,      1 ,       0 ,     77
97,      0 ,      0 ,              1 ,      0 ,      0,       79,      4 ,      1 ,       0 ,     83
98,      0 ,      0 ,              1 ,      0 ,      0,       73,      2 ,      1 ,       0 ,     75
99,      0 ,      0 ,              0 ,      0 ,      0,       66,      5 ,      0 ,       0 ,     71
