id.         cage    sd      depth r r t t c
surface         -50 1       0  0 0 3 4 0
G-0         170     30      29 0 0 3 4 1
G-1         165     30      37 0 0 3 4 1
G-2         120     35      46 0 0 3 4 1
G-3         245     30      56 0 0 3 4 1
G-4         275     30      58 0 0 3 4 1
G-5         310     30      61 0 0 3 4 1
G-6         330     30      63 0 0 3 4 1
G-7         330     70      64 0 0 3 4 1
G-8         335     30      65 0 0 3 4 1
G-9         350     70      66 0 0 3 4 1
G-10        340     30      67 0 0 3 4 1
G-11        305     30      70 0 0 3 4 1
G-12        290     30      72 0 0 3 4 1
G-13        405     35      75 0 0 3 4 1
G-14        410     30      76 0 0 3 4 1
G-15        700     35      78 0 0 3 4 1
G-16        570     30      81 0 0 3 4 1
G-17        635     35      85 0 0 3 4 1
G-18        550     40      91 0 0 3 4 1
