id.     cage    sd      depth
G-0     105     40      29
G-1     210     40      35
G-2     235     40      38
G-3     245     40      39
G-4     250     70      40
G-5     155     40      42
G-6     145     40      43
G-7     105     40      44
G-8     360     40      46
G-9     150     40      55
G-10    625     40      63
G-11    710     70      65
G-12    685     40      66
G-13    675     40      68
G-14    695     40      69
G-15    820     40      70
G-16    935     40      71
G-17    860     40      72
G-18    930     40      73
G-19    920     40      74
G-20    870     40      76
G-21    1070    70      77
#G-22    1105    40      100
