d,   S.cus,   S.cus_undiff ,    S.ten , S.mag,  S.pap ,    S.imb,   S.cap,  Hollow,   Lawn ,  Hummock
0 ,      1 ,      1 ,               0 ,      90,      0 ,      0 ,      1 ,      2 ,       90,     1
1 ,      0 ,      1 ,               0 ,      91,      0 ,      0 ,      0 ,      1 ,       91,     0
2 ,      1 ,      0 ,               0 ,      89,      0 ,      0 ,      1 ,      1 ,       89,     1
3 ,      0 ,      0 ,               0 ,      90,      0 ,      0 ,      1 ,      0 ,       90,     1
4 ,      0 ,      1 ,               0 ,      76,      2 ,      0 ,      1 ,      1 ,       78,     1
5 ,      0 ,      0 ,               0 ,      62,      0 ,      0 ,      1 ,      0 ,       62,     1
6 ,      0 ,      0 ,               0 ,      65,      0 ,      0 ,      0 ,      0 ,       65,     0
7 ,      0 ,      0 ,               0 ,      49,      0 ,      0 ,      0 ,      0 ,       49,     0
8 ,      0 ,      0 ,               0 ,      52,      0 ,      0 ,      0 ,      0 ,       52,     0
9 ,      0 ,      0 ,               0 ,      51,      2 ,      0 ,      1 ,      0 ,       53,     1
10,      0 ,      0 ,               0 ,      65,      4 ,      0 ,      0 ,      0 ,       69,     0
11,      0 ,      0 ,               0 ,      50,      2 ,      0 ,      1 ,      0 ,       52,     1
12,      0 ,      0 ,               0 ,      58,      0 ,      0 ,      1 ,      0 ,       58,     1
13,      0 ,      0 ,               0 ,      69,      0 ,      0 ,      1 ,      0 ,       69,     1
14,      0 ,      0 ,               0 ,      73,      1 ,      0 ,      1 ,      0 ,       74,     1
15,      0 ,      0 ,               0 ,      64,      2 ,      0 ,      1 ,      0 ,       66,     1
16,      0 ,      0 ,               0 ,      72,      1 ,      0 ,      0 ,      0 ,       73,     0
17,      0 ,      1 ,               0 ,      73,      1 ,      0 ,      0 ,      1 ,       74,     0
18,      1 ,      0 ,               1 ,      75,      5 ,      0 ,      1 ,      2 ,       80,     1
19,      0 ,      1 ,               0 ,      72,      5 ,      0 ,      1 ,      1 ,       77,     1
20,      1 ,      1 ,               0 ,      69,      8 ,      0 ,      1 ,      2 ,       77,     1
21,      0 ,      1 ,               0 ,      71,      5 ,      0 ,      0 ,      1 ,       76,     0
22,      0 ,      1 ,               1 ,      76,      0 ,      0 ,      1 ,      2 ,       76,     1
23,      0 ,      0 ,               1 ,      79,      0 ,      0 ,      0 ,      1 ,       79,     0
24,      0 ,      0 ,               1 ,      77,      0 ,      0 ,      1 ,      1 ,       77,     1
25,      0 ,      0 ,               2 ,      74,      0 ,      0 ,      1 ,      2 ,       74,     1
26,      1 ,      2 ,               2 ,      62,      5 ,      0 ,      1 ,      5 ,       67,     1
27,      2 ,      4 ,               2 ,      21,      30,      0 ,      0 ,      8 ,       51,     0
28,      4 ,      2 ,               4 ,      30,      15,      0 ,      0 ,      10,       45,     0
29,      2 ,      5 ,               8 ,      43,      2 ,      0 ,      0 ,      15,       45,     0
30,      4 ,      10,               6 ,      30,      5 ,      0 ,      0 ,      20,       35,     0
31,      10,      20,               5 ,      21,      10,      0 ,      0 ,      35,       31,     0
32,      30,      30,               11,      1 ,      0 ,      0 ,      0 ,      71,       1 ,     0
33,      30,      25,               12,      1 ,      0 ,      0 ,      0 ,      67,       1 ,     0
34,      40,      25,               5 ,      0 ,      0 ,      0 ,      0 ,      70,       0 ,     0
35,      44,      15,               5 ,      0 ,      0 ,      0 ,      0 ,      64,       0 ,     0
36,      45,      12,               2 ,      1 ,      0 ,      0 ,      0 ,      59,       1 ,     0
37,      44,      10,               5 ,      0 ,      5 ,      0 ,      0 ,      59,       5 ,     0
38,      48,      15,               5 ,      0 ,      2 ,      0 ,      0 ,      68,       2 ,     0
39,      20,      25,               15,      0 ,      5 ,      0 ,      0 ,      60,       5 ,     0
40,      10,      15,               30,      2 ,      5 ,      0 ,      1 ,      55,       7 ,     1
41,      5 ,      8 ,               44,      0 ,      2 ,      0 ,      10,      57,       2 ,     10
42,      0 ,      5 ,               25,      0 ,      5 ,      0 ,      20,      30,       5 ,     20
43,      0 ,      0 ,               10,      0 ,      8 ,      0 ,      46,      10,       8 ,     46
44,      0 ,      12,               10,      0 ,      22,      2 ,      30,      22,       22,     32
45,      1 ,      1 ,               3 ,      0 ,      20,      39,      6 ,      5 ,       20,     45
46,      3 ,      8 ,               3 ,      2 ,      12,      36,      8 ,      14,       14,     44
47,      0 ,      0 ,               0 ,      0 ,      0 ,      67,      0 ,      0 ,       0 ,     67
48,      0 ,      1 ,               0 ,      0 ,      0 ,      71,      0 ,      1 ,       0 ,     71
49,      1 ,      0 ,               1 ,      0 ,      0 ,      66,      0 ,      2 ,       0 ,     66
50,      1 ,      1 ,               1 ,      0 ,      1 ,      64,      5 ,      3 ,       1 ,     69
51,      0 ,      0 ,               0 ,      0 ,      0 ,      81,      1 ,      0 ,       0 ,     82
52,      0 ,      1 ,               0 ,      0 ,      0 ,      82,      2 ,      1 ,       0 ,     84
53,      0 ,      1 ,               1 ,      0 ,      0 ,      80,      5 ,      2 ,       0 ,     85
54,      0 ,      0 ,               1 ,      0 ,      0 ,      75,      5 ,      1 ,       0 ,     80
55,      0 ,      0 ,               0 ,      0 ,      0 ,      84,      2 ,      0 ,       0 ,     86
56,      0 ,      1 ,               0 ,      0 ,      0 ,      75,      5 ,      1 ,       0 ,     80
57,      0 ,      0 ,               0 ,      0 ,      0 ,      73,      5 ,      0 ,       0 ,     78
58,      0 ,      0 ,               1 ,      0 ,      0 ,      77,      5 ,      1 ,       0 ,     82
59,      0 ,      1 ,               1 ,      0 ,      0 ,      72,      10,      2 ,       0 ,     82
60,      0 ,      1 ,               1 ,      0 ,      0 ,      10,      63,      2 ,       0 ,     73
61,      0 ,      1 ,               1 ,      0 ,      0 ,      58,      25,      2 ,       0 ,     83
62,      0 ,      1 ,               1 ,      0 ,      0 ,      79,      5 ,      2 ,       0 ,     84
63,      0 ,      1 ,               0 ,      0 ,      0 ,      58,      10,      1 ,       0 ,     68
64,      0 ,      1 ,               1 ,      0 ,      0 ,      78,      10,      2 ,       0 ,     88
65,      0 ,      0 ,               0 ,      0 ,      0 ,      84,      5 ,      0 ,       0 ,     89
66,      0 ,      0 ,               2 ,      0 ,      0 ,      67,      15,      2 ,       0 ,     82
67,      0 ,      0 ,               2 ,      0 ,      0 ,      53,      25,      2 ,       0 ,     78
68,      0 ,      0 ,               1 ,      0 ,      0 ,      73,      14,      1 ,       0 ,     87
69,      0 ,      0 ,               1 ,      0 ,      0 ,      74,      14,      1 ,       0 ,     88
70,      0 ,      0 ,               1 ,      0 ,      0 ,      80,      10,      1 ,       0 ,     90
71,      0 ,      0 ,               1 ,      0 ,      0 ,      84,      5 ,      1 ,       0 ,     89
72,      0 ,      0 ,               2 ,      0 ,      0 ,      77,      5 ,      2 ,       0 ,     82
73,      0 ,      0 ,               0 ,      0 ,      0 ,      78,      5 ,      0 ,       0 ,     83
74,      0 ,      0 ,               0 ,      0 ,      0 ,      10,      15,      0 ,       0 ,     25
75,      0 ,      0 ,               1 ,      0 ,      0 ,      35,      33,      1 ,       0 ,     68
76,      0 ,      0 ,               0 ,      0 ,      0 ,      30,      40,      0 ,       0 ,     70
77,      0 ,      0 ,               0 ,      0 ,      0 ,      35,      37,      0 ,       0 ,     72
78,      0 ,      0 ,               1 ,      0 ,      0 ,      36,      25,      1 ,       0 ,     61
79,      0 ,      0 ,               0 ,      0 ,      0 ,      10,      20,      0 ,       0 ,     30
80,      0 ,      0 ,               2 ,      0 ,      0 ,      49,      2 ,      2 ,       0 ,     51
81,      0 ,      0 ,               1 ,      0 ,      0 ,      82,      2 ,      1 ,       0 ,     84
82,      0 ,      0 ,               0 ,      0 ,      0 ,      81,      1 ,      0 ,       0 ,     82
83,      0 ,      0 ,               1 ,      0 ,      0 ,      80,      4 ,      1 ,       0 ,     84
