WLM19,   S.cus,   S.cus_undiff ,   S.ten,   S.mag,   S.pap,   S.imb,   S.cap,  Hollow,  Lawn,   Hummock
0  ,     0 ,      0 ,              0 ,      95,      0 ,      0 ,      0 ,     0 ,      95,     0
1  ,     0 ,      0 ,              0 ,      82,      0 ,      0 ,      0 ,     0 ,      82,     0
2  ,     0 ,      0 ,              0 ,      83,      0 ,      0 ,      0 ,     0 ,      83,     0
3  ,     0 ,      1 ,              0 ,      81,      0 ,      0 ,      3 ,     1 ,      81,     3
4  ,     0 ,      0 ,              0 ,      81,      0 ,      0 ,      0 ,     0 ,      81,     0
5  ,     0 ,      0 ,              0 ,      94,      0 ,      0 ,      0 ,     0 ,      94,     0
6  ,     0 ,      1 ,              0 ,      92,      0 ,      0 ,      0 ,     1 ,      92,     0
7  ,     1 ,      1 ,              0 ,      86,      0 ,      0 ,      0 ,     2 ,      86,     0
8  ,     1 ,      0 ,              1 ,      79,      0 ,      0 ,      0 ,     2 ,      79,     0
9  ,     1 ,      0 ,              1 ,      73,      0 ,      0 ,      0 ,     2 ,      73,     0
10 ,     1 ,      0 ,              2 ,      75,      0 ,      0 ,      0 ,     3 ,      75,     0
11 ,     0 ,      0 ,              0 ,      80,      0 ,      0 ,      0 ,     0 ,      80,     0
12 ,     0 ,      0 ,              1 ,      84,      0 ,      0 ,      0 ,     1 ,      84,     0
13 ,     0 ,      0 ,              1 ,      85,      0 ,      0 ,      1 ,     1 ,      85,     1
14 ,     0 ,      0 ,              1 ,      69,      0 ,      0 ,      1 ,     1 ,      69,     1
15 ,     0 ,      0 ,              1 ,      67,      0 ,      0 ,      1 ,     1 ,      67,     1
16 ,     0 ,      1 ,              0 ,      76,      0 ,      0 ,      0 ,     1 ,      76,     0
17 ,     0 ,      0 ,              3 ,      79,      0 ,      0 ,      1 ,     3 ,      79,     1
18 ,     0 ,      0 ,              1 ,      80,      0 ,      0 ,      1 ,     1 ,      80,     1
19 ,     0 ,      0 ,              0 ,      57,      0 ,      0 ,      0 ,     0 ,      57,     0
20 ,     0 ,      0 ,              0 ,      64,      0 ,      0 ,      0 ,     0 ,      64,     0
21 ,     0 ,      0 ,              0 ,      84,      0 ,      0 ,      0 ,     0 ,      84,     0
22 ,     0 ,      1 ,              0 ,      80,      0 ,      0 ,      0 ,     1 ,      80,     0
23 ,     0 ,      0 ,              0 ,      76,      0 ,      0 ,      0 ,     0 ,      76,     0
24 ,     0 ,      0 ,              0 ,      80,      0 ,      0 ,      0 ,     0 ,      80,     0
25 ,     0 ,      0 ,              0 ,      76,      0 ,      0 ,      1 ,     0 ,      76,     1
26 ,     0 ,      0 ,              0 ,      74,      0 ,      0 ,      0 ,     0 ,      74,     0
27 ,     2 ,      0 ,              1 ,      74,      0 ,      0 ,      0 ,     3 ,      74,     0
28 ,     1 ,      0 ,              1 ,      69,      0 ,      0 ,      0 ,     2 ,      69,     0
29 ,     0 ,      0 ,              0 ,      76,      0 ,      0 ,      0 ,     0 ,      76,     0
30 ,     0 ,      0 ,              0 ,      79,      0 ,      0 ,      0 ,     0 ,      79,     0
31 ,     1 ,      0 ,              1 ,      77,      0 ,      0 ,      0 ,     2 ,      77,     0
32 ,     0 ,      0 ,              1 ,      76,      0 ,      0 ,      0 ,     1 ,      76,     0
33 ,     1 ,      10,              0 ,      69,      0 ,      0 ,      0 ,     11,      69,     0
34 ,     1 ,      2 ,              0 ,      72,      0 ,      0 ,      0 ,     3 ,      72,     0
35 ,     2 ,      5 ,              2 ,      69,      0 ,      0 ,      0 ,     9 ,      69,     0
36 ,     10,      2 ,              2 ,      65,      0 ,      0 ,      0 ,     14,      65,     0
37 ,     54,      10,              10,      8 ,      0 ,      0 ,      0 ,     74,      8 ,     0
38 ,     61,      5 ,              10,      0 ,      0 ,      0 ,      0 ,     76,      0 ,     0
39 ,     40,      27,              15,      0 ,      0 ,      0 ,      0 ,     82,      0 ,     0
40 ,     37,      18,              10,      2 ,      1 ,      0 ,      0 ,     65,      3 ,     0
41 ,     25,      20,              10,      5 ,      0 ,      0 ,      0 ,     55,      5 ,     0
42 ,     31,      14,              12,      5 ,      4 ,      0 ,      0 ,     57,      9 ,     0
43 ,     40,      10,              18,      6 ,      1 ,      0 ,      0 ,     68,      7 ,     0
44 ,     30,      15,              25,      0 ,      0 ,      0 ,      0 ,     70,      0 ,     0
45 ,     31,      10,              20,      1 ,      2 ,      0 ,      0 ,     61,      3 ,     0
46 ,     2 ,      4 ,              2 ,      1 ,      30,      25,      2 ,     8 ,      31,     27
47 ,     2 ,      0 ,              2 ,      0 ,      16,      29,      5 ,     4 ,      16,     34
48 ,     1 ,      0 ,              4 ,      0 ,      35,      25,      5 ,     5 ,      35,     30
49 ,     5 ,      5 ,              11,      0 ,      5 ,      20,      20,     21,      5 ,     40
50 ,     15,      0 ,              9 ,      0 ,      25,      10,      15,     24,      25,     25
51 ,     20,      15,              5 ,      1 ,      1 ,      20,      5 ,     40,      2 ,     25
52 ,     15,      8 ,              13,      0 ,      0 ,      2 ,      20,     36,      0 ,     22
53 ,     8 ,      8 ,              24,      0 ,      0 ,      0 ,      16,     40,      0 ,     16
54 ,     15,      25,              18,      0 ,      0 ,      0 ,      15,     58,      0 ,     15
55 ,     4 ,      2 ,              8 ,      0 ,      0 ,      55,      7 ,     14,      0 ,     62
56 ,     2 ,      5 ,              4 ,      0 ,      0 ,      70,      2 ,     11,      0 ,     72
57 ,     1 ,      4 ,              1 ,      0 ,      0 ,      75,      1 ,     6 ,      0 ,     76
58 ,     0 ,      0 ,              2 ,      0 ,      0 ,      77,      1 ,     2 ,      0 ,     78
59 ,     0 ,      0 ,              1 ,      0 ,      0 ,      72,      5 ,     1 ,      0 ,     77
60 ,     0 ,      1 ,              0 ,      0 ,      0 ,      80,      6 ,     1 ,      0 ,     86
61 ,     0 ,      1 ,              0 ,      0 ,      0 ,      82,      5 ,     1 ,      0 ,     87
62 ,     0 ,      0 ,              0 ,      0 ,      0 ,      84,      4 ,     0 ,      0 ,     88
63 ,     1 ,      3 ,              2 ,      0 ,      0 ,      80,      1 ,     6 ,      0 ,     81
64 ,     2 ,      4 ,              4 ,      0 ,      0 ,      68,      2 ,     10,      0 ,     70
65 ,     2 ,      6 ,              8 ,      0 ,      0 ,      66,      2 ,     16,      0 ,     68
66 ,     4 ,      20,              41,      0 ,      0 ,      10,      8 ,     65,      0 ,     18
67 ,     2 ,      4 ,              52,      0 ,      0 ,      5 ,      10,     58,      0 ,     15
68 ,     4 ,      10,              47,      0 ,      0 ,      0 ,      16,     61,      0 ,     16
69 ,     2 ,      9 ,              48,      0 ,      0 ,      0 ,      18,     59,      0 ,     18
70 ,     5 ,      15,              51,      0 ,      0 ,      0 ,      10,     71,      0 ,     10
71 ,     0 ,      14,              28,      0 ,      0 ,      2 ,      30,     42,      0 ,     32
72 ,     0 ,      2 ,              40,      0 ,      0 ,      0 ,      25,     42,      0 ,     25
73 ,     0 ,      8 ,              53,      0 ,      0 ,      1 ,      8 ,     61,      0 ,     9
74 ,     0 ,      0 ,              30,      0 ,      0 ,      25,      15,     30,      0 ,     40
75 ,     0 ,      0 ,              0 ,      0 ,      0 ,      91,      1 ,     0 ,      0 ,     92
76 ,     0 ,      0 ,              0 ,      0 ,      0 ,      88,      1 ,     0 ,      0 ,     89
77 ,     0 ,      0 ,              0 ,      0 ,      0 ,      90,      1 ,     0 ,      0 ,     91
78 ,     0 ,      0 ,              0 ,      0 ,      0 ,      91,      1 ,     0 ,      0 ,     92
79 ,     0 ,      0 ,              0 ,      0 ,      0 ,      80,      2 ,     0 ,      0 ,     82
80 ,     0 ,      0 ,              0 ,      0 ,      0 ,      84,      2 ,     0 ,      0 ,     86
81 ,     0 ,      0 ,              0 ,      0 ,      0 ,      83,      2 ,     0 ,      0 ,     85
