id.     cage    sd      depth
G-0     150     40      32
G-1     235     40      34
G-2     215     40      36
G-3     280     49      38
G-4     305     40      40
G-5     320     40      41
G-6     300     50      42
G-7     440     50      43
G-8     365     40      44
G-9     500     40      45
G-10    705     40      46
G-11    550     50      47
G-12    825     40      48
G-13    845     30      49
G-14    835     30      50
G-15    700     30      51
G-16    940     30      60
G-17    960     30      70
G-18    1125    30      85
G-19    1145    30      91
G-20    1190    40      100
